Prompt
"{""task"": ""Generate - **Classical Mechanics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Fluid Dynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Electromagnetism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Maxwell's Equations."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""French"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Electromagnetism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Optics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Electromagnetism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Electrodynamics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Portuguese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Electromagnetism Questions"", ""description"": ""Create a set of questions with solutions in the domain of Superconductivity.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Japanese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Condensed Matter Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Solid State Physics."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Condensed Matter Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Semiconductors."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Russian"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Condensed Matter Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Nanotechnology."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Condensed Matter Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Crystallography.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Astrophysics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Stellar Evolution."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Astrophysics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Galaxy Formation."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Astrophysics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Dark Matter."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Chinese (Mandarin)"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Astrophysics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Exoplanets.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Italian"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Nuclear Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Nuclear Reactions."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""English"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Nuclear Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Radioactivity."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Spanish"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Nuclear Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Nuclear Energy."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Russian"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Nuclear Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Particle Accelerators.."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Experimental Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Instrumentation."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Japanese"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
"{""task"": ""Generate - **Experimental Physics Questions"", ""description"": ""Create a set of questions with solutions in the domain of Data Analysis."", ""requirements"": {""question_count"": 8, ""difficulty_level"": ""Masters Degree Final Exam"", ""knowledge_required"": [""deep knowledge"", ""advanced reasoning"", ""creativity"", ""transfer learning"", ""out-of-the-box thinking""], ""feasibility"": ""solvable in a written test format"", ""language"": ""Hindi"", ""format"": ""json"", ""output"": ""question and solution pairs"", ""solution_details"": ""correct, detailed, and complete with reasoning/problem-solving path""}, ""json_structure"": [{""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}, {""question"": ""Placeholder for question text"", ""solution"": ""Placeholder for solution text""}], ""instruction_note"": ""Ensure that the questions are of high complexity and the solutions provided are of A+ standard. The content must be clear, concise, and strictly adhere to the specified JSON format with no additional prose. This work is critical, so please maintain a high standard of quality throughout. Do NOT output anything except the valid json - no explanation or prose required.""}"
